sigma,chi
0.017787170335861,0.060176991150442
0.034594725473768,0.06283185840708
0.043906573310487,0.060176991150442
0.042695812953467,0.065486725663717
0.046471183884903,0.072566371681416
0.057676220643508,0.074336283185841
0.062651345019628,0.074336283185841
0.06764848322042,0.07787610619469
0.075166204346282,0.086725663716814
0.078875533803698,0.083185840707965
0.082639897822798,0.088495575221239
0.093943996792432,0.106194690265487
0.097642319337512,0.100884955752212
0.096354510594136,0.093805309734513
0.103938273194017,0.113274336283186
0.107790692511808,0.132743362831858
0.112721789238581,0.125663716814159
0.116431118695998,0.12212389380531
0.114042618718967,0.138053097345133
0.117784968913393,0.139823008849558
0.122782107114186,0.143362831858407
