growth_rate,phi_r
0.00101532535515,0.058621541095327
0.002050404121879,0.063908870927917
0.002941282984082,0.058535942978486
0.002641689575137,0.067438147129995
0.003084165994502,0.07275181484469
0.004120561655336,0.074483530593097
0.004860656142488,0.076228415282557
0.005304449455958,0.07798646891307
0.006338211328582,0.086829412829842
0.006784638430262,0.08147623829199
0.007227114849627,0.086789906006685
0.007522099129204,0.090332351149815
0.009294638594874,0.10447579384023
0.010184859010025,0.10088067293289
0.010186834351183,0.095547251806617
0.011809906335907,0.11325289305174
0.013136018699896,0.132749510280008
0.013137994041054,0.127416089153734
0.01521276070388,0.125546099524276
0.015208151574512,0.137990748818914
0.016096396648505,0.139729049037848
0.017280942896179,0.141454180315729
