tempo,lambda,phi_p_1,phi_p_2,phi_r
-1.80094786729858,0.448888888888888,0.622778389839316,0,0.089378238341969
-1.49289099526066,0.448888888888888,0.613798407716133,0,0.089378238341969
-1.25592417061611,0.453333333333333,0.617976593842892,0,0.090155440414508
-1.01895734597156,0.453333333333333,0.617747936890681,0,0.090155440414508
-0.758293838862559,0.453333333333333,0.61751927993847,0,0.090155440414508
-0.497630331753554,0.453333333333333,0.617311409981915,0,0.090155440414508
-0.260663507109005,0.453333333333333,0.617082753029705,0,0.090932642487047
0,0.453333333333333,0.616854096077494,0.002827031409151,0.08860103626943
0.260663507109005,0.622222222222222,0.590329889621053,0.050844991373397,0.092487046632124
0.497630331753555,0.684444444444444,0.533082503585757,0.076953457916727,0.097927461139896
0.75829383886256,0.724444444444444,0.484628016712744,0.098655081381088,0.104145077720207
0.995260663507109,0.755555555555556,0.440538798927391,0.115970648762135,0.10880829015544
1.25592417061611,0.782222222222222,0.396470368137693,0.133307003138836,0.112694300518135
1.49289099526066,0.817777777777777,0.361153262518968,0.150622570519883,0.116580310880829
1.75355450236967,0.835555555555556,0.330242999979213,0.159186812729956,0.120466321243523
2.01421800947867,0.853333333333333,0.308084062610431,0.167709480948719,0.122020725388601
2.25118483412322,0.866666666666667,0.294718024403933,0.171908454071133,0.125129533678756
2.51184834123223,0.88,0.272559087035151,0.180451909285551,0.126683937823834
2.74881516587678,0.888888888888889,0.263579104911967,0.18463009541231,0.127461139896373
3.00947867298578,0.897777777777777,0.254578335793127,0.193173550626728,0.129015544041451
3.24644549763033,0.902222222222222,0.245598353669944,0.192965680670173,0.129015544041451
3.50710900473934,0.906666666666666,0.236576797555449,0.197123079801276,0.130569948186529
3.74407582938389,0.911111111111111,0.236368927598894,0.201301265928035,0.130569948186529
4.02843601895735,0.915555555555555,0.231775001559025,0.201072608975825,0.130569948186529
4.2654028436019,0.919999999999999,0.2271602885235,0.200843952023614,0.130569948186529
4.50236966824645,0.919999999999999,0.222545575487975,0.205022138150373,0.132124352331606
4.76303317535545,0.919999999999999,0.22233770553142,0.204793481198162,0.131347150259067
5,0.919999999999999,0.21774377949155,0.204564824245951,0.132124352331606
5.23696682464455,0.937777777777778,0.217515122539339,0.204356954289396,0.132124352331606
5.49763033175355,0.933333333333333,0.217286465587129,0.204149084332841,0.132901554404145
5.75829383886256,0.933333333333333,0.208306483463945,0.20392042738063,0.132901554404145
5.99526066350711,0.933333333333333,0.20809861350739,0.208077826511734,0.132901554404145
6.25592417061611,0.933333333333333,0.207869956555179,0.207869956555179,0.132901554404145
6.49289099526066,0.933333333333333,0.207641299602968,0.207620512607313,0.133678756476684
