mass_placz,placz,mass_rna,rna
0.045546808308831,0.659655695722281,0.043364356415458,2.03926645531553
0.052228967087167,0.801716778905436,0.050031091040683,2.31755675389147
0.063288437826046,0.828179834961586,0.058932303081581,2.78086422899315
0.065550602295362,0.96995636915489,0.065611270247403,3.15140827123619
0.075538271839135,1.08647918049891,0.07117299870539,3.42944372521637
0.082196718201651,1.16416105472826,0.08006197820569,3.80049745665093
0.083339656644219,1.26723892630181,0.088950957705991,4.1715511880855
0.091098359100825,1.33211609598786,0.096759396120246,4.72685756225854
0.096623351987101,1.33247178222517,0.10567284070174,5.28241878102733
0.103314995731765,1.50028454898985,0.113481279115995,5.83772515520036
0.111021530873565,1.42352745897752,0.120172478822414,6.30052294111052
0.120985488001518,1.47567106136773,0.131308168278983,6.94884759273795
0.127677131746182,1.64348382813241,0.140209380319881,7.41215506783963
0.14208953808214,1.77316703025704,0.148030051274733,8.05971518567977
0.162022194821209,1.89033007682823,0.155801792067197,8.33826032885147
0.171990894432325,1.9553495210092,0.168018022609813,8.80233233774045
0.185246134876221,1.94332732618799,0.178085403520933,9.72716337577345
0.194124063359575,2.04690315849379,0.192597274182204,10.8375212795238
0.206274305226216,2.03480982642512,0.205979673595042,11.7631168513441
0.218462486958171,2.12572322868254,0.220479311715716,12.7812210114272
0.257161149577919,2.19259224129754,0.257225863668335,14.9114669874311
0.288124822156881,2.25896329318031,0.290669629659833,17.1332021733147
0.326885137057764,2.49321824907522,0.328631280645063,20.0939866869183
0.383311201745234,2.68998387555724,0.383155791598283,22.9663401257913
